Week,Line,Location,Incident,Min Delay,Min Gap,Vehicle,has_delay,Year,Month,Day_of_Month,Hour,Minute,Bound_B,Bound_E,Bound_N,Bound_S,Bound_W
24,0.006474558,0.001713873,0,10,20,4423,0,2024,6,16,2,23,0,0,0,0,1
18,0.2039029728250957,0.002525708,11,8,16,8131,0,2024,5,2,12,11,0,1,0,0,0
37,0.031825643,9.020386072523904e-05,5,10,20,4615,0,2024,9,15,21,36,0,1,0,0,0
27,0.064380813,0.002976727,6,10,20,4481,0,2024,7,2,23,16,0,0,0,0,1
37,0.1554805763268283,0.001623669,6,10,20,4489,0,2024,9,12,15,55,0,0,0,1,0
29,0.1266642349078971,0.0221901497384088,3,10,20,4546,0,2024,7,20,18,48,0,1,0,0,0
23,0.1118913,0.0229117806242107,8,10,20,4521,0,2024,6,7,15,17,0,1,0,0,0
38,0.080977567,0.000631427,4,0,0,4525,0,2024,9,20,14,59,0,0,0,0,1
6,0.1040488783512675,0.00396897,7,10,20,4519,0,2024,2,10,12,53,0,0,0,0,1
12,0.035290899,0.000360815,1,10,20,4452,0,2024,3,24,15,46,0,1,0,0,0
3,0.080977567,0.001262854,8,8,14,8694,0,2024,1,21,7,26,0,1,0,0,0
18,0.1118913,0.003698358,4,10,20,4464,0,2024,5,3,11,5,0,0,0,1,0
12,0.2039029728250957,0.006224066,6,5,10,8036,0,2024,3,19,18,17,0,0,1,0,0
28,0.1554805763268283,0.009832221,8,0,0,4536,0,2024,7,13,3,36,0,0,0,0,0
29,0.1118913,0.001262854,11,0,0,8628,0,2024,7,18,22,9,0,0,0,1,0
11,0.1118913,0.003608154,11,0,0,4422,0,2024,3,12,13,19,0,0,0,0,0
13,0.080977567,9.020386072523904e-05,8,5,10,8827,0,2024,3,28,18,44,0,0,0,0,1
7,0.1118913,0.000180408,7,8,16,4401,0,2024,2,14,7,12,0,0,0,0,1
20,0.064380813,0.000180408,0,10,20,4546,0,2024,5,13,10,36,0,1,0,0,0
23,0.080977567,0.002435504,1,10,20,8822,0,2024,6,6,16,7,0,0,0,0,1
8,0.1040488783512675,0.004059174,11,10,20,4537,0,2024,2,23,1,57,0,0,0,0,0
24,0.2039029728250957,0.000992242,12,8,16,8207,0,2024,6,12,11,19,0,1,0,0,0
30,0.1040488783512675,0.001533466,8,10,20,4437,0,2024,7,27,18,39,0,0,0,0,1
26,0.2039029728250957,0.005773047,7,10,20,4518,0,2024,6,27,22,24,0,1,0,0,0
16,0.1040488783512675,0.0107342594263034,7,10,20,4502,0,2024,4,16,10,14,0,0,0,0,0
31,0.031825643,0.001443262,3,10,20,4545,0,2024,7,29,15,11,0,0,0,0,1
27,0.064380813,0.003698358,4,10,20,4422,0,2024,7,5,20,20,0,0,0,0,1
9,0.080977567,0.001262854,7,6,12,8646,0,2024,2,26,6,30,0,0,0,0,0
7,0.1040488783512675,0.000270612,11,0,0,4551,0,2024,2,18,5,32,0,0,0,1,0
11,0.080977567,0.001082446,8,3,6,8356,0,2024,3,15,7,5,0,0,0,0,0
30,0.1266642349078971,0.003608154,11,10,20,4605,0,2024,7,24,16,23,0,0,0,0,1
6,0.1554805763268283,0.009200794,3,0,0,4492,0,2024,2,6,9,50,0,1,0,0,0
13,0.1040488783512675,0.004059174,11,10,20,4544,0,2024,3,31,21,54,0,1,0,0,0
28,0.2039029728250957,0.004059174,11,10,20,8201,0,2024,7,11,19,58,0,0,0,0,0
37,0.1040488783512675,0.005592639,6,10,20,4426,0,2024,9,10,23,5,0,1,0,0,0
28,0.1266642349078971,9.020386072523904e-05,7,10,20,4507,0,2024,7,11,12,46,0,0,1,0,0
12,0.1554805763268283,0.003157135,4,0,0,4584,0,2024,3,20,14,24,0,1,0,0,0
20,0.2039029728250957,0.0107342594263034,8,10,20,4583,0,2024,5,19,9,53,0,0,0,1,0
28,0.080977567,0.00279632,4,10,17,4473,0,2024,7,12,8,6,0,0,0,0,0
37,0.2039029728250957,0.002435504,8,5,10,8144,0,2024,9,14,17,15,0,1,0,0,0
21,0.064380813,0.001262854,2,0,0,4412,0,2024,5,26,12,3,0,0,0,0,1
18,0.2039029728250957,0.0128991520837091,8,4,8,8211,0,2024,5,3,6,57,0,1,0,0,0
27,0.1118913,0.001262854,11,0,0,8831,0,2024,7,4,16,12,0,0,1,0,0
3,0.006474558,0.000811835,3,11,41,4458,0,2024,1,17,3,46,0,0,0,0,1
10,0.1266642349078971,0.000992242,11,0,0,4577,0,2024,3,10,21,32,0,0,0,0,1
1,0.1118913,9.020386072523904e-05,8,10,20,4585,0,2024,1,2,13,59,0,0,1,0,0
33,0.035290899,0.000451019,8,10,20,4431,0,2024,8,16,16,23,0,0,0,1,0
16,0.1554805763268283,0.009200794,11,0,0,4586,0,2024,4,19,11,17,0,1,0,0,0
13,0.1554805763268283,0.009832221,8,2,5,4503,0,2024,3,31,7,56,0,1,0,0,0
33,0.1554805763268283,9.020386072523904e-05,0,12,24,4564,0,2024,8,18,22,38,0,1,0,0,0
6,0.0479664417289804,0.003698358,7,10,20,4605,0,2024,2,10,18,4,0,1,0,0,0
16,0.1266642349078971,9.020386072523904e-05,0,10,20,4455,0,2024,4,16,9,36,0,0,0,0,1
15,0.1118913,9.020386072523904e-05,0,0,0,4546,0,2024,4,9,21,4,0,0,0,1,0
22,0.080977567,0.005773047,7,10,20,7316,0,2024,6,2,8,33,0,0,0,0,1
13,0.006474558,0.001713873,2,0,0,0,0,2024,3,31,4,49,0,0,0,1,0
4,0.1266642349078971,0.002706116,3,0,0,4425,0,2024,1,24,4,0,0,0,0,0,1
13,0.1118913,0.0229117806242107,4,8,16,4411,0,2024,3,30,12,5,0,0,0,1,0
25,0.064380813,0.004329785,4,0,0,4509,0,2024,6,22,13,25,0,1,0,0,0
4,0.1118913,0.003608154,7,10,20,4445,0,2024,1,24,18,5,0,1,0,0,0
3,0.2039029728250957,0.004961212,4,10,20,4474,0,2024,1,16,22,6,0,1,0,0,0
2,0.031825643,0.000270612,11,10,20,4458,0,2024,1,10,19,22,0,1,0,0,0
26,0.002462156,0.000811835,11,0,0,8611,0,2024,6,30,13,4,0,0,0,0,1
30,0.1266642349078971,0.002435504,11,10,19,4614,0,2024,7,22,18,32,0,0,0,0,1
7,0.080977567,0.008659571,7,6,12,8649,0,2024,2,14,14,25,0,0,0,0,1
37,0.1554805763268283,0.000541223,7,0,0,8335,0,2024,9,14,6,43,0,1,0,0,0
6,0.0479664417289804,0.003698358,4,0,0,4406,0,2024,2,5,16,49,0,1,0,0,0
32,0.0107605325551705,0.004690601,11,8,18,4619,0,2024,8,6,1,52,0,0,0,0,1
27,0.1118913,0.0229117806242107,8,2,5,8642,0,2024,7,5,18,23,0,0,0,1,0
14,0.1040488783512675,0.007667328,0,10,20,4524,0,2024,4,2,19,27,0,0,0,0,1
34,0.0,9.020386072523904e-05,3,0,0,0,0,2024,8,19,7,57,0,0,0,0,0
31,0.1266642349078971,0.001984485,8,8,16,4598,0,2024,8,4,13,6,0,1,0,0,0
15,0.1118913,0.0107342594263034,4,11,21,4481,0,2024,4,10,16,4,0,0,1,0,0
18,0.1266642349078971,0.0205664802453545,8,13,23,4424,0,2024,5,3,19,40,0,1,0,0,0
17,0.080977567,0.002074689,1,4,8,8673,0,2024,4,22,7,58,0,0,0,0,1
4,0.1118913,0.006675086,8,9,19,4484,0,2024,1,23,14,20,0,0,1,0,0
24,0.080977567,0.000360815,4,0,0,0,0,2024,6,16,14,22,0,0,0,0,1
31,0.1554805763268283,0.0205664802453545,7,10,20,4559,0,2024,7,31,12,18,0,1,0,0,0
2,0.1118913,0.0107342594263034,8,9,19,4557,0,2024,1,10,14,38,0,0,0,0,1
23,0.2039029728250957,0.004329785,4,0,0,4446,0,2024,6,7,14,41,0,0,1,0,0
15,0.064380813,9.020386072523904e-05,7,10,20,4406,0,2024,4,8,5,14,0,1,0,0,0
34,0.2039029728250957,0.000270612,1,10,20,8217,0,2024,8,23,14,0,0,1,0,0,0
7,0.064380813,0.006855493,12,10,20,4417,0,2024,2,17,23,26,0,0,0,0,1
12,0.0479664417289804,0.009742017,5,9,3,4543,0,2024,3,20,9,17,0,0,0,0,0
32,0.1554805763268283,0.001443262,0,10,20,4526,0,2024,8,7,1,14,0,1,0,0,0
10,0.1040488783512675,0.002525708,7,10,20,4464,0,2024,3,10,12,9,0,1,0,0,0
16,0.2039029728250957,0.001894281,3,6,12,8091,0,2024,4,18,19,27,0,0,0,0,1
8,0.2039029728250957,0.002255097,6,10,20,8161,0,2024,2,25,14,19,0,0,0,1,0
30,0.2039029728250957,0.0128991520837091,12,10,20,8144,0,2024,7,26,21,10,0,0,0,0,1
15,0.2039029728250957,9.020386072523904e-05,11,10,20,4447,0,2024,4,11,12,14,0,0,1,0,0
25,0.1266642349078971,0.002706116,0,10,20,4569,0,2024,6,20,19,57,0,1,0,0,0
37,0.1266642349078971,0.0221901497384088,11,5,15,4425,0,2024,9,15,22,25,0,0,0,0,0
28,0.1266642349078971,0.009832221,5,9,24,4418,0,2024,7,14,8,38,0,1,0,0,0
27,0.1040488783512675,0.001984485,5,5,15,4544,0,2024,7,2,2,17,0,1,0,0,0
25,0.2039029728250957,0.000180408,0,10,20,4418,0,2024,6,19,22,32,0,0,0,0,1
14,0.1266642349078971,0.001984485,11,10,20,4502,0,2024,4,2,6,29,0,0,1,0,0
18,0.2039029728250957,0.006855493,0,6,12,3326,0,2024,4,30,18,29,0,0,1,0,0
14,0.2039029728250957,0.001443262,7,5,10,8101,0,2024,4,1,18,6,0,0,0,0,0
17,0.1040488783512675,0.007667328,7,10,20,4539,0,2024,4,24,22,21,0,0,0,0,1
25,0.006474558,0.000902039,3,11,36,4472,0,2024,6,17,4,51,0,0,0,0,1
30,0.064380813,0.004961212,4,0,0,0,0,2024,7,28,21,54,0,0,0,0,0
20,0.035290899,0.007216309,0,9,18,4520,0,2024,5,16,15,5,0,0,0,1,0
26,0.1040488783512675,0.003517951,11,0,0,3434,0,2024,6,28,21,22,0,0,1,0,0
33,0.1040488783512675,0.000721631,8,10,20,4571,0,2024,8,17,18,35,0,0,0,0,1
5,0.1040488783512675,0.000902039,6,6,16,4521,0,2024,2,2,19,1,0,0,0,0,1
22,0.035290899,0.000360815,10,0,0,4485,0,2024,5,30,10,35,0,0,0,1,0
16,0.1040488783512675,0.001353058,11,10,20,4493,0,2024,4,19,19,19,0,1,0,0,0
11,0.080977567,0.00279632,8,10,20,8374,0,2024,3,13,18,22,0,0,1,0,0
1,0.2039029728250957,0.002525708,2,10,20,4428,0,2024,1,4,16,44,0,0,0,0,0
22,0.080977567,0.000360815,8,5,10,8672,0,2024,5,29,15,6,0,0,0,1,0
32,0.1118913,0.005773047,1,2,5,7254,0,2024,8,7,15,59,0,0,1,0,0
6,0.1118913,0.003698358,4,0,0,4557,0,2024,2,6,17,22,0,1,0,0,0
8,0.2039029728250957,0.003427747,7,10,20,4494,0,2024,2,20,12,59,0,1,0,0,0
23,0.2039029728250957,0.004961212,0,10,20,4552,0,2024,6,7,16,26,0,1,0,0,0
39,0.2039029728250957,0.0107342594263034,11,10,20,4457,0,2024,9,25,16,1,0,0,0,0,0
15,0.1266642349078971,0.000180408,7,10,20,4405,0,2024,4,12,7,16,0,0,0,0,1
2,0.1118913,0.0107342594263034,4,9,19,4404,0,2024,1,8,20,44,0,0,1,0,0
35,0.1266642349078971,0.003698358,8,7,14,4523,0,2024,8,31,12,16,0,0,0,0,0
17,0.1118913,0.009200794,3,0,0,4542,0,2024,4,27,3,54,0,1,0,0,0
28,0.080977567,9.020386072523904e-05,11,9,17,4494,0,2024,7,13,16,18,0,0,1,0,0
14,0.0479664417289804,0.003066931,3,8,16,4554,0,2024,4,4,8,9,0,0,0,0,0
34,0.2039029728250957,0.006224066,12,8,16,8184,0,2024,8,20,10,11,0,0,0,0,1
9,0.1554805763268283,0.006855493,8,10,20,4401,0,2024,2,29,11,1,0,0,0,1,0
24,0.2039029728250957,0.007216309,1,10,20,8168,0,2024,6,13,21,36,0,0,0,0,0
1,0.064380813,0.000721631,5,0,0,4547,0,2024,1,5,15,45,0,0,0,0,1
2,0.1040488783512675,0.000451019,11,0,0,4598,0,2024,1,12,5,53,0,0,0,1,0
11,0.2039029728250957,0.001533466,8,9,18,8164,0,2024,3,16,16,5,0,0,0,0,1
4,0.080977567,0.001082446,8,2,4,8053,0,2024,1,23,15,6,0,0,0,0,1
21,0.2039029728250957,9.020386072523904e-05,2,6,16,4489,0,2024,5,26,16,19,0,0,0,0,1
18,0.035290899,0.007216309,3,10,19,4416,0,2024,4,30,9,1,0,0,0,0,0
13,0.1554805763268283,0.009742017,8,10,20,4607,0,2024,3,30,3,56,0,0,0,0,1
29,0.2039029728250957,0.000902039,2,10,20,4426,0,2024,7,18,17,51,0,0,0,0,0
9,0.1266642349078971,0.004059174,11,10,20,4537,0,2024,2,27,2,33,0,0,1,0,0
29,0.064380813,0.004961212,6,10,20,4572,0,2024,7,20,13,43,0,0,0,0,1
40,0.1118913,0.0229117806242107,4,0,0,7300,0,2024,9,30,7,50,0,0,1,0,0
35,0.1040488783512675,0.005592639,11,10,20,4550,0,2024,8,30,8,12,0,0,0,0,0
2,0.0479664417289804,0.0108244632870286,4,0,0,4567,0,2024,1,13,7,40,0,1,0,0,0
22,0.2039029728250957,0.006224066,11,15,25,4566,0,2024,6,2,3,38,0,0,0,0,0
29,0.2039029728250957,0.001894281,11,10,20,4577,0,2024,7,20,16,57,0,1,0,0,0
28,0.031825643,0.000721631,3,10,20,4533,0,2024,7,12,1,0,0,0,0,0,1
4,0.1266642349078971,0.000541223,11,8,16,4518,0,2024,1,27,19,1,0,0,0,0,1
8,0.1554805763268283,0.009742017,5,3,6,4589,0,2024,2,21,4,45,0,1,0,0,0
